Account Name - 2021,Customer Type,First Fill Flag,LOB Comp Tier,Data Week ,Pbr City,Pbr First Nm,Pbr Last Nm,Pbr Npi Id,Pbr Email Id,Pbr State,Pbr Zip,Pharmacy Bucket,Region - 2021,Sales Rep - 2021,Sales Therapy,Sales Universe Flag,Source Data,Territory Name - 2021,Therapy Budget - 2021,Zone VP Name - 2021,Rxs (SUM)
John Medical Foundation,SELECT,Y,CL RX EXCLUSIVE,20200804,New York,John,Smith,1770112120,john.smith@gmail.com,NY,1000,Client Pharmacy,ONC - METRO NY - LONG ISLAND,Bruce,ONCOLOGY - GENERAL,Y,CLAIMS,ONCOLOGY_1,ONCOLOGY - GENERAL,John Dow,1
John Medical Foundation,SELECT,N,CL RX NON EXCLUSIVE,20200803,Los Angeles,Ross,Brown,1275295990,ross.brown@gmail.com,CA,1001,Client Pharmacy,ONC - METRO NY - LONG ISLAND,Bruce,ONCOLOGY - GENERAL,N,CLAIMS,ONCOLOGY_1,ONCOLOGY - GENERAL,John Dow,4
John Medical Foundation,SELECT,Y,CL RX NON EXCLUSIVE,20200101,Phoenix,Kevin,Austin,1073275780,kevin.austin@gmail.com,AZ,1002,Competitor Pharmacy,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,1
John Medical Foundation,SELECT,N,CL RX  EXCLUSIVE,20200901,Sacramento,Arthur,Keys,,arthur.keys@gmail.com,CA,1003,Competitor Pharmacy,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,3
John Medical Foundation,SELECT,Y,CL RX NON EXCLUSIVE,20200401,Denver,Davos,Smith,1295239804,davos.smith@gmail.com,CO,1004,Competitor Pharmacy,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,2
John Medical Foundation,SELECT,N,CL RX NON EXCLUSIVE,20200101,Oregon,Amanda,Sebastin,1245992957,amanda.sebastin@gmail.com,OR,10054,Competitor Pharmacy,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,2
John Medical Foundation,PROVIDER ADV,Y,CL RX NON EXCLUSIVE,20200501,Kansas Ciity,Mans,Arryn,1649827585,mans.arryn@gmail.com,CA,1006,Competitor Pharmacy,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,N,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,3
John Medical Foundation,PROVIDER ADV,N,CL RX EXCLUSIVE,20200101,Mesa,Ramsay,Queth,1215699822,ramsay.queth@gmail.com,AZ,1007,Competitor Pharmacy,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,N,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,2
John Medical Foundation,COREOPS,Y,AARP,20211001,Oakland,Henry,Bolton,1518629229,henry.bolton@gmail.com,CA,1008,IOD,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,1
John Medical Foundation,PROVIDER ADV,N,CL RX EXCLUSIVE,20210901,Aurora,Harry,Smith,1477879237,harry.smith@gmail.com,MA,1009,IOD,ONC - METRO NY - LONG ISLAND,Walt,ONCOLOGY - GENERAL,N,ADJUDICATED,ONCOLOGY_2,ONCOLOGY - GENERAL,John Dow,3
,PROVIDER ADV,N,CL RX EXCLUSIVE,20210101,Cleveland,,,,,NJ,2001,Competitor Pharmacy,ONC - NEW JERSEY - NEWARK,Ross,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_3,ONCOLOGY - GENERAL,John Dow,1
,PROVIDER ADV,N,CL RX EXCLUSIVE,20200101,Tulsa,,,,,VA,2801,Competitor Pharmacy,ONC - SOUTH CAROLINA,Kenedy,ONCOLOGY - GENERAL,Y,ADJUDICATED,ONCOLOGY_3,ONCOLOGY - GENERAL,John Dow,1
